,Coefficient,Year
Civilian Labor Force,336.50,2015
Mean Travel Time,86.46,2015
Internet Access,403.60,2015
Teacher Wages,0.22,2015
Pupil Teacher Ratio,-419.90,2015
Black,14800.00,2015
Civilian Labor Force,422.70,2016
Mean Travel Time,249.80,2016
Internet Access,358.80,2016
Teacher Wages,0.20,2016
Pupil Teacher Ratio,-289.60,2016
Black,9378.00,2016
Civilian Labor Force,450.50,2017
Mean Travel Time,289.00,2017
Internet Access,397.10,2017
Teacher Wages,0.20,2017
Pupil Teacher Ratio,-285.60,2017
Black,9163.00,2017
